ablation_group,alpha,beta,block,components,dataset_key,dataset_path,disabled_metadata,gamma,limit,max_new_tokens,metric_cancelled_retrieval_rate,metric_contradiction,metric_evidence_f1,metric_evidence_precision,metric_evidence_recall,metric_exact_accuracy,metric_exact_evidence_hit,metric_expired_retrieval_rate,metric_gen_sec,metric_invalid_retrieval_rate,metric_latency_sec,metric_n,metric_prompt_chars,metric_relaxed_accuracy,metric_retrieval_sec,metric_retrieved_chars,metric_retrieved_count,metric_superseded_retrieval_rate,model_key,model_path,note,regime,retriever,run_id,run_type,suite_status,suite_wall_sec,top_k
,0.6,0.3,D_external_diagnostics,,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,0.3,,64,0.0,,0.14166666666666666,0.09444444444444444,0.2833333333333333,,0.0,0.0,,0.0,0.0010675708452860513,600,,,,363.23,3.0,0.0,,,External retrieval-capable diagnostic,,semantic,D_external_retrieval_tcp_semantic,retrieval,ok,0.805,3
,0.6,0.3,D_external_diagnostics,,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0009343214829762777,600,,,,337.22,3.0,0.0,,,External retrieval-capable diagnostic,,recency,D_external_retrieval_tcp_recency,retrieval,ok,0.695,3
,0.6,0.3,D_external_diagnostics,,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,0.3,,64,0.0,,0.0008333333333333334,0.0005555555555555556,0.0016666666666666668,,0.0,0.0,,0.0,0.0009985979398091634,600,,,,367.66333333333336,3.0,0.0,,,External retrieval-capable diagnostic,,semantic_recency,D_external_retrieval_tcp_semantic_recency,retrieval,ok,0.741,3
,0.6,0.3,D_external_diagnostics,,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0010023566087086996,600,,,,365.1483333333333,3.0,0.0,,,External retrieval-capable diagnostic,,chronological,D_external_retrieval_tcp_chronological,retrieval,ok,0.745,3
,0.6,0.3,D_external_diagnostics,,tcp,converted_external_clean/tcp_timebound_clean.jsonl,,0.3,,64,0.0,,0.14166666666666666,0.09444444444444444,0.2833333333333333,,0.0,0.0,,0.0,0.0010886689027150471,600,,,,363.23,3.0,0.0,,,External retrieval-capable diagnostic,,timebound,D_external_retrieval_tcp_timebound,retrieval,ok,0.796,3
,0.6,0.3,D_external_diagnostics,,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,0.3,,64,0.0,,0.023,0.015333333333333332,0.046,,0.0,0.0,,0.0,0.0022800331115722656,500,,,,388.452,3.0,0.0,,,External retrieval-capable diagnostic,,semantic,D_external_retrieval_locomo_semantic,retrieval,ok,1.335,3
,0.6,0.3,D_external_diagnostics,,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.002276294708251953,500,,,,163.164,3.0,0.0,,,External retrieval-capable diagnostic,,recency,D_external_retrieval_locomo_recency,retrieval,ok,1.332,3
,0.6,0.3,D_external_diagnostics,,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.002118881702423096,500,,,,323.404,3.0,0.0,,,External retrieval-capable diagnostic,,semantic_recency,D_external_retrieval_locomo_semantic_recency,retrieval,ok,1.237,3
,0.6,0.3,D_external_diagnostics,,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0021316671371459962,500,,,,377.83,3.0,0.0,,,External retrieval-capable diagnostic,,chronological,D_external_retrieval_locomo_chronological,retrieval,ok,1.239,3
,0.6,0.3,D_external_diagnostics,,locomo,converted_external_clean/locomo_timebound_clean.jsonl,,0.3,,64,0.0,,0.023,0.015333333333333332,0.046,,0.0,0.0,,0.0,0.002273630142211914,500,,,,388.452,3.0,0.0,,,External retrieval-capable diagnostic,,timebound,D_external_retrieval_locomo_timebound,retrieval,ok,1.321,3
