run_id,block,run_type,dataset_key,retriever,regime,model_key,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,metric_n,metric_evidence_f1,metric_exact_evidence_hit,metric_invalid_retrieval_rate,metric_exact_accuracy,metric_relaxed_accuracy,metric_contradiction,metric_retrieved_chars,metric_prompt_chars,metric_latency_sec,metric_retrieval_sec,metric_gen_sec
D_external_reader_tempreason_mistral_7b_v03_query_only,D_external_diagnostics,llm,tempreason,,query_only,mistral_7b_v03,,,,0,0.6,0.3,0.3,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.3098,,8.165121078491211e-07,0.7945041195631027
D_external_reader_tempreason_qwen25_7b_query_only,D_external_diagnostics,llm,tempreason,,query_only,qwen25_7b,,,,0,0.6,0.3,0.3,10000,0.0,0.0,0.0,0.1283,0.136,0.0,0.0,315.3098,,9.875059127807616e-07,0.37581032338142395
D_external_reader_tempreason_qwen25_coder_1p5b_query_only,D_external_diagnostics,llm,tempreason,,query_only,qwen25_coder_1p5b,,,,0,0.6,0.3,0.3,10000,0.0,0.0,0.0,0.0031,0.0059,0.0,0.0,315.3098,,1.004195213317871e-06,0.4635074698448181
D_external_reader_tempreason_qwen25_coder_7b_query_only,D_external_diagnostics,llm,tempreason,,query_only,qwen25_coder_7b,,,,0,0.6,0.3,0.3,10000,0.0,0.0,0.0,0.0946,0.101,0.0,0.0,315.3098,,9.070396423339843e-07,0.34539306621551513
D_external_retrieval_locomo_chronological,D_external_diagnostics,retrieval,locomo,chronological,,,,,,3,0.6,0.3,0.3,500,0.0,0.0,0.0,,,,377.83,,0.0021316671371459962,,
D_external_retrieval_locomo_recency,D_external_diagnostics,retrieval,locomo,recency,,,,,,3,0.6,0.3,0.3,500,0.0,0.0,0.0,,,,163.164,,0.002276294708251953,,
D_external_retrieval_locomo_semantic,D_external_diagnostics,retrieval,locomo,semantic,,,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,,,,388.452,,0.0022800331115722656,,
D_external_retrieval_locomo_semantic_recency,D_external_diagnostics,retrieval,locomo,semantic_recency,,,,,,3,0.6,0.3,0.3,500,0.0,0.0,0.0,,,,323.404,,0.002118881702423096,,
D_external_retrieval_locomo_timebound,D_external_diagnostics,retrieval,locomo,timebound,,,,,,3,0.6,0.3,0.3,500,0.023,0.0,0.0,,,,388.452,,0.002273630142211914,,
D_external_retrieval_tcp_chronological,D_external_diagnostics,retrieval,tcp,chronological,,,,,,3,0.6,0.3,0.3,600,0.0,0.0,0.0,,,,365.1483333333333,,0.0010023566087086996,,
D_external_retrieval_tcp_recency,D_external_diagnostics,retrieval,tcp,recency,,,,,,3,0.6,0.3,0.3,600,0.0,0.0,0.0,,,,337.22,,0.0009343214829762777,,
D_external_retrieval_tcp_semantic,D_external_diagnostics,retrieval,tcp,semantic,,,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,,,,363.23,,0.0010675708452860513,,
D_external_retrieval_tcp_semantic_recency,D_external_diagnostics,retrieval,tcp,semantic_recency,,,,,,3,0.6,0.3,0.3,600,0.0008333333333333334,0.0,0.0,,,,367.66333333333336,,0.0009985979398091634,,
D_external_retrieval_tcp_timebound,D_external_diagnostics,retrieval,tcp,timebound,,,,,,3,0.6,0.3,0.3,600,0.14166666666666666,0.0,0.0,,,,363.23,,0.0010886689027150471,,
